variant,scene,category,group,correct,total,accuracy_percent,version,incorrect
U0,leo_clear_weak,named,test_rx_7,7891,18000,43.83888888888889,V1,10109
U0,leo_clear_weak,named,test_rx_9,12678,18000,70.43333333333334,V1,5322
U0,leo_clear_weak,named,test_rx_10,11298,18000,62.766666666666666,V1,6702
U0,leo_clear_weak,named,test_rx_11,11070,18000,61.5,V1,6930
U0,leo_clear_weak,named,test_unseen_day_unseen_rx,24919,42000,59.33095238095238,V1,17081
U0,leo_clear_weak,named,test_unseen_day_rx_0,3653,6000,60.88333333333333,V1,2347
U0,leo_clear_weak,named,test_unseen_day_rx_2,2064,6000,34.4,V1,3936
U0,leo_clear_weak,named,test_unseen_day_rx_5,3893,6000,64.88333333333334,V1,2107
U0,leo_clear_weak,named,test_unseen_day_rx_7,3759,6000,62.65,V1,2241
U0,leo_clear_weak,named,test_unseen_day_rx_9,3354,6000,55.9,V1,2646
U0,leo_clear_weak,named,test_unseen_day_rx_10,4277,6000,71.28333333333333,V1,1723
U0,leo_clear_weak,named,test_unseen_day_rx_11,3919,6000,65.31666666666666,V1,2081
U0,leo_clear_weak,receiver_all_days,0,16280,24000,67.83333333333333,V1,7720
U0,leo_clear_weak,receiver_all_days,1,4114,6000,68.56666666666666,V1,1886
U0,leo_clear_weak,receiver_all_days,2,9142,24000,38.09166666666667,V1,14858
U0,leo_clear_weak,receiver_all_days,3,4551,6000,75.85,V1,1449
U0,leo_clear_weak,receiver_all_days,4,5010,6000,83.5,V1,990
U0,leo_clear_weak,receiver_all_days,5,17381,24000,72.42083333333333,V1,6619
U0,leo_clear_weak,receiver_all_days,6,4892,6000,81.53333333333333,V1,1108
U0,leo_clear_weak,receiver_all_days,7,11650,24000,48.541666666666664,V1,12350
U0,leo_clear_weak,receiver_all_days,8,4814,6000,80.23333333333333,V1,1186
U0,leo_clear_weak,receiver_all_days,9,16032,24000,66.8,V1,7968
U0,leo_clear_weak,receiver_all_days,10,15575,24000,64.89583333333333,V1,8425
U0,leo_clear_weak,receiver_all_days,11,14989,24000,62.454166666666666,V1,9011
U0,leo_clear_weak,class,0,16455,33000,49.86363636363637,V1,16545
U0,leo_clear_weak,class,1,9359,33000,28.36060606060606,V1,23641
U0,leo_clear_weak,class,2,16920,33000,51.27272727272727,V1,16080
U0,leo_clear_weak,class,3,23025,33000,69.77272727272727,V1,9975
U0,leo_clear_weak,class,4,28885,33000,87.53030303030303,V1,4115
U0,leo_clear_weak,class,5,29786,33000,90.26060606060607,V1,3214
U0,leo_low_elev_weak,aggregate,all,120370,198000,60.792929292929294,V1,77630
U0,leo_low_elev_weak,named,test_unseen_day_seen_rx,22339,30000,74.46333333333334,V1,7661
U0,leo_low_elev_weak,named,test_day_0,22339,30000,74.46333333333334,V1,7661
U0,leo_low_elev_weak,named,test_seen_day_unseen_rx,73844,126000,58.60634920634921,V1,52156
U0,leo_low_elev_weak,named,test_rx_0,12149,18000,67.49444444444444,V1,5851
U0,leo_low_elev_weak,named,test_rx_2,7143,18000,39.68333333333333,V1,10857
U0,leo_low_elev_weak,named,test_rx_5,12952,18000,71.95555555555555,V1,5048
U0,leo_low_elev_weak,named,test_rx_7,7850,18000,43.611111111111114,V1,10150
U0,leo_low_elev_weak,named,test_rx_9,12307,18000,68.37222222222222,V1,5693
U0,leo_low_elev_weak,named,test_rx_10,10738,18000,59.65555555555556,V1,7262
U0,leo_low_elev_weak,named,test_rx_11,10705,18000,59.47222222222222,V1,7295
U0,leo_low_elev_weak,named,test_unseen_day_unseen_rx,24187,42000,57.588095238095235,V1,17813
U0,leo_low_elev_weak,named,test_unseen_day_rx_0,3547,6000,59.11666666666667,V1,2453
U0,leo_low_elev_weak,named,test_unseen_day_rx_2,2152,6000,35.86666666666667,V1,3848
U0,leo_low_elev_weak,named,test_unseen_day_rx_5,3776,6000,62.93333333333333,V1,2224
U0,leo_low_elev_weak,named,test_unseen_day_rx_7,3515,6000,58.583333333333336,V1,2485
U0,leo_low_elev_weak,named,test_unseen_day_rx_9,3414,6000,56.9,V1,2586
U0,leo_low_elev_weak,named,test_unseen_day_rx_10,3987,6000,66.45,V1,2013
U0,leo_low_elev_weak,named,test_unseen_day_rx_11,3796,6000,63.266666666666666,V1,2204
U0,leo_low_elev_weak,receiver_all_days,0,15696,24000,65.4,V1,8304
U0,leo_low_elev_weak,receiver_all_days,1,3953,6000,65.88333333333334,V1,2047
U0,leo_low_elev_weak,receiver_all_days,2,9295,24000,38.729166666666664,V1,14705
U0,leo_low_elev_weak,receiver_all_days,3,4317,6000,71.95,V1,1683
U0,leo_low_elev_weak,receiver_all_days,4,4866,6000,81.1,V1,1134
U0,leo_low_elev_weak,receiver_all_days,5,16728,24000,69.7,V1,7272
U0,leo_low_elev_weak,receiver_all_days,6,4725,6000,78.75,V1,1275
U0,leo_low_elev_weak,receiver_all_days,7,11365,24000,47.354166666666664,V1,12635
U0,leo_low_elev_weak,receiver_all_days,8,4478,6000,74.63333333333334,V1,1522
U0,leo_low_elev_weak,receiver_all_days,9,15721,24000,65.50416666666666,V1,8279
U0,leo_low_elev_weak,receiver_all_days,10,14725,24000,61.354166666666664,V1,9275
U0,leo_low_elev_weak,receiver_all_days,11,14501,24000,60.420833333333334,V1,9499
U0,leo_low_elev_weak,class,0,15895,33000,48.166666666666664,V1,17105
U0,leo_low_elev_weak,class,1,8563,33000,25.94848484848485,V1,24437
U0,leo_low_elev_weak,class,2,15910,33000,48.21212121212121,V1,17090
U0,leo_low_elev_weak,class,3,22238,33000,67.38787878787879,V1,10762
U0,leo_low_elev_weak,class,4,28090,33000,85.12121212121212,V1,4910
U0,leo_low_elev_weak,class,5,29674,33000,89.92121212121212,V1,3326
U0,leo_rain_weak,aggregate,all,121323,198000,61.27424242424242,V1,76677
U0,leo_rain_weak,named,test_unseen_day_seen_rx,22661,30000,75.53666666666666,V1,7339
U0,leo_rain_weak,named,test_day_0,22661,30000,75.53666666666666,V1,7339
U0,leo_rain_weak,named,test_seen_day_unseen_rx,74453,126000,59.08968253968254,V1,51547
U0,leo_rain_weak,named,test_rx_0,11922,18000,66.23333333333333,V1,6078
U0,leo_rain_weak,named,test_rx_2,7173,18000,39.85,V1,10827
U0,leo_rain_weak,named,test_rx_5,13228,18000,73.4888888888889,V1,4772
U0,leo_rain_weak,named,test_rx_7,7940,18000,44.111111111111114,V1,10060
U0,leo_rain_weak,named,test_rx_9,12546,18000,69.7,V1,5454
U0,leo_rain_weak,named,test_rx_10,10762,18000,59.78888888888889,V1,7238
U0,leo_rain_weak,named,test_rx_11,10882,18000,60.455555555555556,V1,7118
U0,leo_rain_weak,named,test_unseen_day_unseen_rx,24209,42000,57.64047619047619,V1,17791
U0,leo_rain_weak,named,test_unseen_day_rx_0,3429,6000,57.15,V1,2571
U0,leo_rain_weak,named,test_unseen_day_rx_2,2184,6000,36.4,V1,3816
U0,leo_rain_weak,named,test_unseen_day_rx_5,3807,6000,63.45,V1,2193
U0,leo_rain_weak,named,test_unseen_day_rx_7,3584,6000,59.733333333333334,V1,2416
U0,leo_rain_weak,named,test_unseen_day_rx_9,3343,6000,55.71666666666667,V1,2657
U0,leo_rain_weak,named,test_unseen_day_rx_10,4134,6000,68.9,V1,1866
U0,leo_rain_weak,named,test_unseen_day_rx_11,3728,6000,62.13333333333333,V1,2272
U0,leo_rain_weak,receiver_all_days,0,15351,24000,63.9625,V1,8649
U0,leo_rain_weak,receiver_all_days,1,3958,6000,65.96666666666667,V1,2042
U0,leo_rain_weak,receiver_all_days,2,9357,24000,38.9875,V1,14643
U0,leo_rain_weak,receiver_all_days,3,4353,6000,72.55,V1,1647
U0,leo_rain_weak,receiver_all_days,4,4961,6000,82.68333333333334,V1,1039
U0,leo_rain_weak,receiver_all_days,5,17035,24000,70.97916666666667,V1,6965
U0,leo_rain_weak,receiver_all_days,6,4759,6000,79.31666666666666,V1,1241
U0,leo_rain_weak,receiver_all_days,7,11524,24000,48.016666666666666,V1,12476
U0,leo_rain_weak,receiver_all_days,8,4630,6000,77.16666666666667,V1,1370
U0,leo_rain_weak,receiver_all_days,9,15889,24000,66.20416666666667,V1,8111
U0,leo_rain_weak,receiver_all_days,10,14896,24000,62.06666666666667,V1,9104
U0,leo_rain_weak,receiver_all_days,11,14610,24000,60.875,V1,9390
U0,leo_rain_weak,class,0,16531,33000,50.093939393939394,V1,16469
U0,leo_rain_weak,class,1,8762,33000,26.55151515151515,V1,24238
U0,leo_rain_weak,class,2,16271,33000,49.306060606060605,V1,16729
U0,leo_rain_weak,class,3,21943,33000,66.4939393939394,V1,11057
U0,leo_rain_weak,class,4,27902,33000,84.55151515151515,V1,5098
U0,leo_rain_weak,class,5,29914,33000,90.64848484848486,V1,3086
U1,clean,aggregate,all,157091,198000,79.33888888888889,V1,40909
U1,clean,named,test_unseen_day_seen_rx,27809,30000,92.69666666666667,V1,2191
U1,clean,named,test_day_0,27809,30000,92.69666666666667,V1,2191
U1,clean,named,test_seen_day_unseen_rx,98350,126000,78.05555555555556,V1,27650
U1,clean,named,test_rx_0,14837,18000,82.42777777777778,V1,3163
U1,clean,named,test_rx_2,11190,18000,62.166666666666664,V1,6810
U1,clean,named,test_rx_5,15795,18000,87.75,V1,2205
U1,clean,named,test_rx_7,12585,18000,69.91666666666667,V1,5415
U1,clean,named,test_rx_9,15489,18000,86.05,V1,2511
U1,clean,named,test_rx_10,14521,18000,80.67222222222222,V1,3479
U1,clean,named,test_rx_11,13933,18000,77.40555555555555,V1,4067
U1,clean,named,test_unseen_day_unseen_rx,30932,42000,73.64761904761905,V1,11068
U1,clean,named,test_unseen_day_rx_0,4069,6000,67.81666666666666,V1,1931
U1,clean,named,test_unseen_day_rx_2,3127,6000,52.11666666666667,V1,2873
U1,clean,named,test_unseen_day_rx_5,4990,6000,83.16666666666667,V1,1010
U1,clean,named,test_unseen_day_rx_7,5047,6000,84.11666666666666,V1,953
U1,clean,named,test_unseen_day_rx_9,4362,6000,72.7,V1,1638
U1,clean,named,test_unseen_day_rx_10,4511,6000,75.18333333333334,V1,1489
U1,clean,named,test_unseen_day_rx_11,4826,6000,80.43333333333334,V1,1174
U1,clean,receiver_all_days,0,18906,24000,78.775,V1,5094
U1,clean,receiver_all_days,1,4752,6000,79.2,V1,1248
U1,clean,receiver_all_days,2,14317,24000,59.65416666666667,V1,9683
U1,clean,receiver_all_days,3,5694,6000,94.9,V1,306
U1,clean,receiver_all_days,4,5860,6000,97.66666666666667,V1,140
U1,clean,receiver_all_days,5,20785,24000,86.60416666666667,V1,3215
U1,clean,receiver_all_days,6,5880,6000,98.0,V1,120
U1,clean,receiver_all_days,7,17632,24000,73.46666666666667,V1,6368
U1,clean,receiver_all_days,8,5623,6000,93.71666666666667,V1,377
U1,clean,receiver_all_days,9,19851,24000,82.7125,V1,4149
U1,clean,receiver_all_days,10,19032,24000,79.3,V1,4968
U1,clean,receiver_all_days,11,18759,24000,78.1625,V1,5241
U1,clean,class,0,31603,33000,95.76666666666667,V1,1397
U1,clean,class,1,13417,33000,40.657575757575756,V1,19583
U1,clean,class,2,25775,33000,78.10606060606061,V1,7225
U1,clean,class,3,22628,33000,68.56969696969696,V1,10372
U1,clean,class,4,32074,33000,97.19393939393939,V1,926
U1,clean,class,5,31594,33000,95.73939393939393,V1,1406
U1,leo_clear_weak,aggregate,all,128098,198000,64.6959595959596,V1,69902
U1,leo_clear_weak,named,test_unseen_day_seen_rx,23779,30000,79.26333333333334,V1,6221
U1,leo_clear_weak,named,test_day_0,23779,30000,79.26333333333334,V1,6221
U1,leo_clear_weak,named,test_seen_day_unseen_rx,78812,126000,62.54920634920635,V1,47188
U1,leo_clear_weak,named,test_rx_0,13039,18000,72.43888888888888,V1,4961
U1,leo_clear_weak,named,test_rx_2,8439,18000,46.88333333333333,V1,9561
U1,leo_clear_weak,named,test_rx_5,13798,18000,76.65555555555555,V1,4202
U1,leo_clear_weak,named,test_rx_7,7237,18000,40.205555555555556,V1,10763
U1,leo_clear_weak,named,test_rx_9,13234,18000,73.52222222222223,V1,4766
U1,leo_clear_weak,named,test_rx_10,11442,18000,63.56666666666667,V1,6558
U1,leo_clear_weak,named,test_rx_11,11623,18000,64.57222222222222,V1,6377
U1,leo_clear_weak,named,test_unseen_day_unseen_rx,25507,42000,60.73095238095238,V1,16493
U1,leo_clear_weak,named,test_unseen_day_rx_0,3772,6000,62.86666666666667,V1,2228
U1,leo_clear_weak,named,test_unseen_day_rx_2,2180,6000,36.333333333333336,V1,3820
U1,leo_clear_weak,named,test_unseen_day_rx_5,4072,6000,67.86666666666666,V1,1928
U1,leo_clear_weak,named,test_unseen_day_rx_7,3265,6000,54.416666666666664,V1,2735
U1,leo_clear_weak,named,test_unseen_day_rx_9,3812,6000,63.53333333333333,V1,2188
U1,leo_clear_weak,named,test_unseen_day_rx_10,4351,6000,72.51666666666667,V1,1649
U1,leo_clear_weak,named,test_unseen_day_rx_11,4055,6000,67.58333333333333,V1,1945
U1,leo_clear_weak,receiver_all_days,0,16811,24000,70.04583333333333,V1,7189
U1,leo_clear_weak,receiver_all_days,1,4467,6000,74.45,V1,1533
U1,leo_clear_weak,receiver_all_days,2,10619,24000,44.24583333333333,V1,13381
U1,leo_clear_weak,receiver_all_days,3,4331,6000,72.18333333333334,V1,1669
U1,leo_clear_weak,receiver_all_days,4,5230,6000,87.16666666666667,V1,770
U1,leo_clear_weak,receiver_all_days,5,17870,24000,74.45833333333333,V1,6130
U1,leo_clear_weak,receiver_all_days,6,5132,6000,85.53333333333333,V1,868
U1,leo_clear_weak,receiver_all_days,7,10502,24000,43.75833333333333,V1,13498
U1,leo_clear_weak,receiver_all_days,8,4619,6000,76.98333333333333,V1,1381
U1,leo_clear_weak,receiver_all_days,9,17046,24000,71.025,V1,6954
U1,leo_clear_weak,receiver_all_days,10,15793,24000,65.80416666666666,V1,8207
U1,leo_clear_weak,receiver_all_days,11,15678,24000,65.325,V1,8322
U1,leo_clear_weak,class,0,22753,33000,68.94848484848485,V1,10247
U1,leo_clear_weak,class,1,9799,33000,29.693939393939395,V1,23201
U1,leo_clear_weak,class,2,19164,33000,58.07272727272727,V1,13836
U1,leo_clear_weak,class,3,20903,33000,63.342424242424244,V1,12097
U1,leo_clear_weak,class,4,26281,33000,79.63939393939394,V1,6719
U1,leo_clear_weak,class,5,29198,33000,88.47878787878788,V1,3802
U1,leo_low_elev_weak,aggregate,all,123161,198000,62.202525252525255,V1,74839
U1,leo_low_elev_weak,named,test_unseen_day_seen_rx,22693,30000,75.64333333333333,V1,7307
U1,leo_low_elev_weak,named,test_day_0,22693,30000,75.64333333333333,V1,7307
U1,leo_low_elev_weak,named,test_seen_day_unseen_rx,75966,126000,60.29047619047619,V1,50034
U1,leo_low_elev_weak,named,test_rx_0,12499,18000,69.43888888888888,V1,5501
U1,leo_low_elev_weak,named,test_rx_2,8360,18000,46.44444444444444,V1,9640
U1,leo_low_elev_weak,named,test_rx_5,13200,18000,73.33333333333333,V1,4800
U1,leo_low_elev_weak,named,test_rx_7,7149,18000,39.71666666666667,V1,10851
U1,leo_low_elev_weak,named,test_rx_9,12784,18000,71.02222222222223,V1,5216
U1,leo_low_elev_weak,named,test_rx_10,10869,18000,60.38333333333333,V1,7131
U1,leo_low_elev_weak,named,test_rx_11,11105,18000,61.69444444444444,V1,6895
U1,leo_low_elev_weak,named,test_unseen_day_unseen_rx,24502,42000,58.338095238095235,V1,17498
U1,leo_low_elev_weak,named,test_unseen_day_rx_0,3571,6000,59.516666666666666,V1,2429
U1,leo_low_elev_weak,named,test_unseen_day_rx_2,2280,6000,38.0,V1,3720
U1,leo_low_elev_weak,named,test_unseen_day_rx_5,3841,6000,64.01666666666667,V1,2159
U1,leo_low_elev_weak,named,test_unseen_day_rx_7,3134,6000,52.233333333333334,V1,2866
U1,leo_low_elev_weak,named,test_unseen_day_rx_9,3761,6000,62.68333333333333,V1,2239
U1,leo_low_elev_weak,named,test_unseen_day_rx_10,4021,6000,67.01666666666667,V1,1979
U1,leo_low_elev_weak,named,test_unseen_day_rx_11,3894,6000,64.9,V1,2106
U1,leo_low_elev_weak,receiver_all_days,0,16070,24000,66.95833333333333,V1,7930
U1,leo_low_elev_weak,receiver_all_days,1,4279,6000,71.31666666666666,V1,1721
U1,leo_low_elev_weak,receiver_all_days,2,10640,24000,44.333333333333336,V1,13360
U1,leo_low_elev_weak,receiver_all_days,3,4122,6000,68.7,V1,1878
U1,leo_low_elev_weak,receiver_all_days,4,5021,6000,83.68333333333334,V1,979
U1,leo_low_elev_weak,receiver_all_days,5,17041,24000,71.00416666666666,V1,6959
U1,leo_low_elev_weak,receiver_all_days,6,4889,6000,81.48333333333333,V1,1111
U1,leo_low_elev_weak,receiver_all_days,7,10283,24000,42.84583333333333,V1,13717
U1,leo_low_elev_weak,receiver_all_days,8,4382,6000,73.03333333333333,V1,1618
U1,leo_low_elev_weak,receiver_all_days,9,16545,24000,68.9375,V1,7455
U1,leo_low_elev_weak,receiver_all_days,10,14890,24000,62.041666666666664,V1,9110
U1,leo_low_elev_weak,receiver_all_days,11,14999,24000,62.49583333333333,V1,9001
U1,leo_low_elev_weak,class,0,22137,33000,67.08181818181818,V1,10863
U1,leo_low_elev_weak,class,1,9132,33000,27.672727272727272,V1,23868
U1,leo_low_elev_weak,class,2,18474,33000,55.981818181818184,V1,14526
U1,leo_low_elev_weak,class,3,19647,33000,59.53636363636364,V1,13353
U1,leo_low_elev_weak,class,4,24728,33000,74.93333333333334,V1,8272
U1,leo_low_elev_weak,class,5,29043,33000,88.00909090909092,V1,3957
U1,leo_rain_weak,aggregate,all,123683,198000,62.466161616161614,V1,74317
U1,leo_rain_weak,named,test_unseen_day_seen_rx,22800,30000,76.0,V1,7200
U1,leo_rain_weak,named,test_day_0,22800,30000,76.0,V1,7200
U1,leo_rain_weak,named,test_seen_day_unseen_rx,76462,126000,60.68412698412698,V1,49538
U1,leo_rain_weak,named,test_rx_0,12540,18000,69.66666666666667,V1,5460
U1,leo_rain_weak,named,test_rx_2,8435,18000,46.861111111111114,V1,9565
U1,leo_rain_weak,named,test_rx_5,13401,18000,74.45,V1,4599
U1,leo_rain_weak,named,test_rx_7,7236,18000,40.2,V1,10764
U1,leo_rain_weak,named,test_rx_9,12915,18000,71.75,V1,5085
U1,leo_rain_weak,named,test_rx_10,10807,18000,60.03888888888889,V1,7193
U1,leo_rain_weak,named,test_rx_11,11128,18000,61.82222222222222,V1,6872
U1,leo_rain_weak,named,test_unseen_day_unseen_rx,24421,42000,58.14523809523809,V1,17579
U1,leo_rain_weak,named,test_unseen_day_rx_0,3533,6000,58.88333333333333,V1,2467
U1,leo_rain_weak,named,test_unseen_day_rx_2,2248,6000,37.46666666666667,V1,3752
U1,leo_rain_weak,named,test_unseen_day_rx_5,3844,6000,64.06666666666666,V1,2156
U1,leo_rain_weak,named,test_unseen_day_rx_7,3101,6000,51.68333333333333,V1,2899
U1,leo_rain_weak,named,test_unseen_day_rx_9,3749,6000,62.483333333333334,V1,2251
U1,leo_rain_weak,named,test_unseen_day_rx_10,4130,6000,68.83333333333333,V1,1870
U1,leo_rain_weak,named,test_unseen_day_rx_11,3816,6000,63.6,V1,2184
U1,leo_rain_weak,receiver_all_days,0,16073,24000,66.97083333333333,V1,7927
U1,leo_rain_weak,receiver_all_days,1,4212,6000,70.2,V1,1788
U1,leo_rain_weak,receiver_all_days,2,10683,24000,44.5125,V1,13317
U1,leo_rain_weak,receiver_all_days,3,4140,6000,69.0,V1,1860
U1,leo_rain_weak,receiver_all_days,4,5084,6000,84.73333333333333,V1,916
U1,leo_rain_weak,receiver_all_days,5,17245,24000,71.85416666666667,V1,6755
U1,leo_rain_weak,receiver_all_days,6,4916,6000,81.93333333333334,V1,1084
U1,leo_rain_weak,receiver_all_days,7,10337,24000,43.07083333333333,V1,13663
U1,leo_rain_weak,receiver_all_days,8,4448,6000,74.13333333333334,V1,1552
U1,leo_rain_weak,receiver_all_days,9,16664,24000,69.43333333333334,V1,7336
U1,leo_rain_weak,receiver_all_days,10,14937,24000,62.2375,V1,9063
U1,leo_rain_weak,receiver_all_days,11,14944,24000,62.266666666666666,V1,9056
U1,leo_rain_weak,class,0,22645,33000,68.62121212121212,V1,10355
U1,leo_rain_weak,class,1,9265,33000,28.075757575757574,V1,23735
U1,leo_rain_weak,class,2,18601,33000,56.36666666666667,V1,14399
U1,leo_rain_weak,class,3,19203,33000,58.19090909090909,V1,13797
U1,leo_rain_weak,class,4,24686,33000,74.80606060606061,V1,8314
U1,leo_rain_weak,class,5,29283,33000,88.73636363636363,V1,3717
U2,clean,aggregate,all,154236,198000,77.89696969696969,V1,43764
U2,clean,named,test_unseen_day_seen_rx,27708,30000,92.36,V1,2292
U2,clean,named,test_day_0,27708,30000,92.36,V1,2292
U2,clean,named,test_seen_day_unseen_rx,96621,126000,76.68333333333334,V1,29379
U2,clean,named,test_rx_0,14836,18000,82.42222222222222,V1,3164
U2,clean,named,test_rx_2,10727,18000,59.59444444444444,V1,7273
U2,clean,named,test_rx_5,15783,18000,87.68333333333334,V1,2217
U2,clean,named,test_rx_7,11676,18000,64.86666666666666,V1,6324
U2,clean,named,test_rx_9,15688,18000,87.15555555555555,V1,2312
U2,clean,named,test_rx_10,14160,18000,78.66666666666667,V1,3840
U2,clean,named,test_rx_11,13751,18000,76.39444444444445,V1,4249
U2,clean,named,test_unseen_day_unseen_rx,29907,42000,71.20714285714286,V1,12093
U2,clean,named,test_unseen_day_rx_0,3902,6000,65.03333333333333,V1,2098
U2,clean,named,test_unseen_day_rx_2,3245,6000,54.083333333333336,V1,2755
U2,clean,named,test_unseen_day_rx_5,4487,6000,74.78333333333333,V1,1513
U2,clean,named,test_unseen_day_rx_7,4882,6000,81.36666666666666,V1,1118
U2,clean,named,test_unseen_day_rx_9,4220,6000,70.33333333333333,V1,1780
U2,clean,named,test_unseen_day_rx_10,4497,6000,74.95,V1,1503
U2,clean,named,test_unseen_day_rx_11,4674,6000,77.9,V1,1326
U2,clean,receiver_all_days,0,18738,24000,78.075,V1,5262
U2,clean,receiver_all_days,1,4671,6000,77.85,V1,1329
U2,clean,receiver_all_days,2,13972,24000,58.21666666666667,V1,10028
U2,clean,receiver_all_days,3,5639,6000,93.98333333333333,V1,361
U2,clean,receiver_all_days,4,5856,6000,97.6,V1,144
U2,clean,receiver_all_days,5,20270,24000,84.45833333333333,V1,3730
U2,clean,receiver_all_days,6,5895,6000,98.25,V1,105
U2,clean,receiver_all_days,7,16558,24000,68.99166666666666,V1,7442
U2,clean,receiver_all_days,8,5647,6000,94.11666666666666,V1,353
U2,clean,receiver_all_days,9,19908,24000,82.95,V1,4092
U2,clean,receiver_all_days,10,18657,24000,77.7375,V1,5343
U2,clean,receiver_all_days,11,18425,24000,76.77083333333333,V1,5575
U2,clean,class,0,31812,33000,96.4,V1,1188
U2,clean,class,1,16244,33000,49.224242424242426,V1,16756
U2,clean,class,2,20716,33000,62.775757575757574,V1,12284
U2,clean,class,3,21819,33000,66.11818181818182,V1,11181
U2,clean,class,4,31401,33000,95.15454545454546,V1,1599
U2,clean,class,5,32244,33000,97.7090909090909,V1,756
U2,leo_clear_weak,aggregate,all,126121,198000,63.69747474747475,V1,71879
U2,leo_clear_weak,named,test_unseen_day_seen_rx,23503,30000,78.34333333333333,V1,6497
U2,leo_clear_weak,named,test_day_0,23503,30000,78.34333333333333,V1,6497
U2,leo_clear_weak,named,test_seen_day_unseen_rx,77580,126000,61.57142857142857,V1,48420
U2,leo_clear_weak,named,test_rx_0,13369,18000,74.27222222222223,V1,4631
U2,leo_clear_weak,named,test_rx_2,8018,18000,44.544444444444444,V1,9982
U2,leo_clear_weak,named,test_rx_5,13243,18000,73.57222222222222,V1,4757
U2,leo_clear_weak,named,test_rx_7,7255,18000,40.30555555555556,V1,10745
U2,leo_clear_weak,named,test_rx_9,13331,18000,74.06111111111112,V1,4669
U2,leo_clear_weak,named,test_rx_10,10704,18000,59.46666666666667,V1,7296
U2,leo_clear_weak,named,test_rx_11,11660,18000,64.77777777777777,V1,6340
U2,leo_clear_weak,named,test_unseen_day_unseen_rx,25038,42000,59.614285714285714,V1,16962
U2,leo_clear_weak,named,test_unseen_day_rx_0,3638,6000,60.63333333333333,V1,2362
U2,leo_clear_weak,named,test_unseen_day_rx_2,2316,6000,38.6,V1,3684
U2,leo_clear_weak,named,test_unseen_day_rx_5,3727,6000,62.11666666666667,V1,2273
U2,leo_clear_weak,named,test_unseen_day_rx_7,3385,6000,56.416666666666664,V1,2615
